Epoch 0, Train Loss: 2.856959, Train Acc: 0.494318, Train Avg Acc: 0.417119, Test Loss: 2.763135, Test Acc: 0.422222, Test Avg Acc: 0.366667
Epoch 1, Train Loss: 2.041090, Train Acc: 0.642045, Train Avg Acc: 0.472212, Test Loss: 2.011643, Test Acc: 0.577778, Test Avg Acc: 0.470499
Epoch 2, Train Loss: 1.836651, Train Acc: 0.690341, Train Avg Acc: 0.507104, Test Loss: 1.934014, Test Acc: 0.588889, Test Avg Acc: 0.432643
Epoch 3, Train Loss: 1.798632, Train Acc: 0.710227, Train Avg Acc: 0.539646, Test Loss: 1.811475, Test Acc: 0.655556, Test Avg Acc: 0.491979
Epoch 4, Train Loss: 1.747815, Train Acc: 0.721591, Train Avg Acc: 0.546450, Test Loss: 1.766023, Test Acc: 0.700000, Test Avg Acc: 0.521613
Epoch 5, Train Loss: 1.702661, Train Acc: 0.758523, Train Avg Acc: 0.570240, Test Loss: 1.722443, Test Acc: 0.700000, Test Avg Acc: 0.521168
Epoch 6, Train Loss: 1.737937, Train Acc: 0.735795, Train Avg Acc: 0.551296, Test Loss: 1.685847, Test Acc: 0.800000, Test Avg Acc: 0.622928
Epoch 7, Train Loss: 1.712000, Train Acc: 0.755682, Train Avg Acc: 0.599853, Test Loss: 1.705276, Test Acc: 0.711111, Test Avg Acc: 0.528743
Epoch 8, Train Loss: 1.666653, Train Acc: 0.778409, Train Avg Acc: 0.574635, Test Loss: 1.683538, Test Acc: 0.755556, Test Avg Acc: 0.563302
Epoch 9, Train Loss: 1.641335, Train Acc: 0.803977, Train Avg Acc: 0.615080, Test Loss: 1.673141, Test Acc: 0.744444, Test Avg Acc: 0.555949
Epoch 10, Train Loss: 1.665091, Train Acc: 0.806818, Train Avg Acc: 0.615516, Test Loss: 1.759938, Test Acc: 0.766667, Test Avg Acc: 0.555660
Epoch 11, Train Loss: 1.674285, Train Acc: 0.789773, Train Avg Acc: 0.592427, Test Loss: 1.857395, Test Acc: 0.722222, Test Avg Acc: 0.571012
Epoch 12, Train Loss: 1.652098, Train Acc: 0.812500, Train Avg Acc: 0.610929, Test Loss: 1.697938, Test Acc: 0.722222, Test Avg Acc: 0.525579
Epoch 13, Train Loss: 1.614163, Train Acc: 0.843750, Train Avg Acc: 0.644198, Test Loss: 1.664907, Test Acc: 0.800000, Test Avg Acc: 0.603454
Epoch 14, Train Loss: 1.646386, Train Acc: 0.801136, Train Avg Acc: 0.601383, Test Loss: 1.645984, Test Acc: 0.777778, Test Avg Acc: 0.578454
Epoch 15, Train Loss: 1.620665, Train Acc: 0.815341, Train Avg Acc: 0.643316, Test Loss: 1.632215, Test Acc: 0.811111, Test Avg Acc: 0.636096
Epoch 16, Train Loss: 1.587808, Train Acc: 0.829545, Train Avg Acc: 0.660424, Test Loss: 1.536821, Test Acc: 0.833333, Test Avg Acc: 0.625512
Epoch 17, Train Loss: 1.564169, Train Acc: 0.846591, Train Avg Acc: 0.643195, Test Loss: 1.727956, Test Acc: 0.722222, Test Avg Acc: 0.531395
Epoch 18, Train Loss: 1.593811, Train Acc: 0.840909, Train Avg Acc: 0.638412, Test Loss: 1.579285, Test Acc: 0.844444, Test Avg Acc: 0.657709
Epoch 19, Train Loss: 1.579888, Train Acc: 0.852273, Train Avg Acc: 0.650334, Test Loss: 1.560998, Test Acc: 0.855556, Test Avg Acc: 0.665731
Epoch 20, Train Loss: 1.536340, Train Acc: 0.860795, Train Avg Acc: 0.655504, Test Loss: 1.533114, Test Acc: 0.866667, Test Avg Acc: 0.668382
Epoch 21, Train Loss: 1.588913, Train Acc: 0.843750, Train Avg Acc: 0.640120, Test Loss: 1.699688, Test Acc: 0.722222, Test Avg Acc: 0.500735
Epoch 22, Train Loss: 1.526512, Train Acc: 0.872159, Train Avg Acc: 0.665749, Test Loss: 1.558282, Test Acc: 0.855556, Test Avg Acc: 0.660807
Epoch 23, Train Loss: 1.556794, Train Acc: 0.866477, Train Avg Acc: 0.657587, Test Loss: 1.657125, Test Acc: 0.788889, Test Avg Acc: 0.580437
Epoch 24, Train Loss: 1.518458, Train Acc: 0.863636, Train Avg Acc: 0.665713, Test Loss: 1.646321, Test Acc: 0.833333, Test Avg Acc: 0.615441
Epoch 25, Train Loss: 1.521905, Train Acc: 0.857955, Train Avg Acc: 0.651256, Test Loss: 1.536705, Test Acc: 0.866667, Test Avg Acc: 0.667937
Epoch 26, Train Loss: 1.553765, Train Acc: 0.866477, Train Avg Acc: 0.654471, Test Loss: 1.677943, Test Acc: 0.788889, Test Avg Acc: 0.580660
Epoch 27, Train Loss: 1.498700, Train Acc: 0.897727, Train Avg Acc: 0.686217, Test Loss: 1.494746, Test Acc: 0.855556, Test Avg Acc: 0.645588
Epoch 28, Train Loss: 1.495083, Train Acc: 0.883523, Train Avg Acc: 0.678773, Test Loss: 1.504188, Test Acc: 0.877778, Test Avg Acc: 0.665441
Epoch 29, Train Loss: 1.488930, Train Acc: 0.911932, Train Avg Acc: 0.700898, Test Loss: 1.473315, Test Acc: 0.888889, Test Avg Acc: 0.683088
Epoch 30, Train Loss: 1.445366, Train Acc: 0.926136, Train Avg Acc: 0.709978, Test Loss: 1.658383, Test Acc: 0.788889, Test Avg Acc: 0.580660
Epoch 31, Train Loss: 1.447435, Train Acc: 0.900568, Train Avg Acc: 0.693273, Test Loss: 1.461680, Test Acc: 0.922222, Test Avg Acc: 0.715441
Epoch 32, Train Loss: 1.433972, Train Acc: 0.934659, Train Avg Acc: 0.718949, Test Loss: 1.525984, Test Acc: 0.844444, Test Avg Acc: 0.648529
Epoch 33, Train Loss: 1.493790, Train Acc: 0.897727, Train Avg Acc: 0.687304, Test Loss: 1.698053, Test Acc: 0.777778, Test Avg Acc: 0.563012
Epoch 34, Train Loss: 1.453124, Train Acc: 0.909091, Train Avg Acc: 0.696562, Test Loss: 1.634584, Test Acc: 0.811111, Test Avg Acc: 0.605437
Epoch 35, Train Loss: 1.450699, Train Acc: 0.892045, Train Avg Acc: 0.682398, Test Loss: 1.494043, Test Acc: 0.911111, Test Avg Acc: 0.713012
Epoch 36, Train Loss: 1.492717, Train Acc: 0.897727, Train Avg Acc: 0.689981, Test Loss: 1.568608, Test Acc: 0.833333, Test Avg Acc: 0.625512
Epoch 37, Train Loss: 1.455870, Train Acc: 0.903409, Train Avg Acc: 0.691265, Test Loss: 1.487999, Test Acc: 0.855556, Test Avg Acc: 0.660584
Epoch 38, Train Loss: 1.484651, Train Acc: 0.903409, Train Avg Acc: 0.691886, Test Loss: 1.560995, Test Acc: 0.811111, Test Avg Acc: 0.595588
Epoch 39, Train Loss: 1.468657, Train Acc: 0.917614, Train Avg Acc: 0.703592, Test Loss: 1.616716, Test Acc: 0.811111, Test Avg Acc: 0.620878
Epoch 40, Train Loss: 1.445028, Train Acc: 0.897727, Train Avg Acc: 0.690375, Test Loss: 1.562544, Test Acc: 0.811111, Test Avg Acc: 0.610807
Epoch 41, Train Loss: 1.442669, Train Acc: 0.917614, Train Avg Acc: 0.729757, Test Loss: 1.519739, Test Acc: 0.866667, Test Avg Acc: 0.673307
Epoch 42, Train Loss: 1.422076, Train Acc: 0.920455, Train Avg Acc: 0.704082, Test Loss: 1.458406, Test Acc: 0.877778, Test Avg Acc: 0.741199
Epoch 43, Train Loss: 1.429112, Train Acc: 0.920455, Train Avg Acc: 0.708309, Test Loss: 1.563426, Test Acc: 0.800000, Test Avg Acc: 0.648775
Epoch 44, Train Loss: 1.431893, Train Acc: 0.926136, Train Avg Acc: 0.705550, Test Loss: 1.455279, Test Acc: 0.900000, Test Avg Acc: 0.690441
Epoch 45, Train Loss: 1.449064, Train Acc: 0.923295, Train Avg Acc: 0.713109, Test Loss: 1.542352, Test Acc: 0.866667, Test Avg Acc: 0.658088
Epoch 46, Train Loss: 1.441879, Train Acc: 0.926136, Train Avg Acc: 0.736957, Test Loss: 1.556740, Test Acc: 0.811111, Test Avg Acc: 0.595588
Epoch 47, Train Loss: 1.416575, Train Acc: 0.926136, Train Avg Acc: 0.711880, Test Loss: 1.453081, Test Acc: 0.900000, Test Avg Acc: 0.685294
Epoch 48, Train Loss: 1.387359, Train Acc: 0.946023, Train Avg Acc: 0.724627, Test Loss: 1.502788, Test Acc: 0.855556, Test Avg Acc: 0.650512
Epoch 49, Train Loss: 1.413107, Train Acc: 0.926136, Train Avg Acc: 0.710479, Test Loss: 1.503402, Test Acc: 0.844444, Test Avg Acc: 0.638012
Epoch 50, Train Loss: 1.451447, Train Acc: 0.909091, Train Avg Acc: 0.701694, Test Loss: 1.504464, Test Acc: 0.877778, Test Avg Acc: 0.725980
Epoch 51, Train Loss: 1.405630, Train Acc: 0.926136, Train Avg Acc: 0.708846, Test Loss: 1.437580, Test Acc: 0.877778, Test Avg Acc: 0.675512
Epoch 52, Train Loss: 1.469581, Train Acc: 0.886364, Train Avg Acc: 0.676495, Test Loss: 1.483922, Test Acc: 0.877778, Test Avg Acc: 0.736275
Epoch 53, Train Loss: 1.420903, Train Acc: 0.931818, Train Avg Acc: 0.769416, Test Loss: 1.509817, Test Acc: 0.811111, Test Avg Acc: 0.766578
Epoch 54, Train Loss: 1.410752, Train Acc: 0.928977, Train Avg Acc: 0.739734, Test Loss: 1.416604, Test Acc: 0.911111, Test Avg Acc: 0.702941
